,numepolice,annee_reference,n_sinistre,montantsinistre
23814,610941,2013,20136846,4133.44271332625
23821,487052,2011,20136847,2035.79520367952
23821.1,487052,2011,20136848,1390.51797002087
23822,761687,2012,20136849,1245.17909132935
23826,758931,2010,20136850,1494.99140149975
23827,545627,2009,20136851,4344.55404367746
23828,873816,2008,20136852,481.320497668116
23830,543131,2013,20136853,751.163357109844
23831,644712,2014,20136854,1142.9980917337
23831.1,644712,2014,20136855,40.8345930403415
23836,972702,2009,20136856,2617.96569536719
23836.1,972702,2009,20136857,2671.99493577094
23838,26186,2011,20136858,55083.0122650539
23838.1,26186,2011,20136859,27542.9709032501
23838.2,26186,2011,20136860,60106.5909928896
23839,747707,2013,20136861,211.291612130838
23840,736509,2017,20136862,117.387722050287
23844,608863,2010,20136863,529.129764588191
23846,390270,2012,20136864,1006.72651967119
23847,670195,2014,20136865,214.236784333963
23849,917294,2016,20136866,1750.03800956847
23851,424654,2011,20136867,250.738411730225
23853,219595,2011,20136868,4737.0656564273
23855,197423,2009,20136869,154.279037122158
23857,851009,2015,20136870,20789.2435391375
23857.1,851009,2015,20136871,1320.03805582806
23860,143192,2015,20136872,1299.92730500691
23861,952671,2016,20136873,1227.40498411594
23863,52378,2016,20136874,1961.44561634173
23863.1,52378,2016,20136875,229.935590358115
23864,136590,2013,20136876,91.7056466148375
23864.1,136590,2013,20136877,692.826988424506
23865,275275,2011,20136878,446.100203251606
23870,946848,2015,20136879,1741.0422033581
23874,716430,2016,20136880,577.505761790817
23875,371173,2009,20136881,4744.97768139334
23876,411871,2012,20136882,3965.28127414197
23876.1,411871,2012,20136883,1512.33205973414
23877,631886,2009,20136884,40.5787683937742
23878,256433,2016,20136885,748.873849087858
23878.1,256433,2016,20136886,4288.45862904649
23878.2,256433,2016,20136887,26388.887256407
23879,285079,2008,20136888,1427.08604127148
23882,138701,2012,20136889,87.9212310354377
23883,433040,2016,20136890,8859.15390860374
23883.1,433040,2016,20136891,12466.2957429175
23884,65837,2017,20136892,421.317621598141
23885,479397,2012,20136893,1124.56712341655
23886,81246,2008,20136894,1918.6325672653
23886.1,81246,2008,20136895,5557.31778628485
23887,985040,2009,20136896,299.171926134466
23889,647221,2015,20136897,1869.90320408428
23891,646504,2013,20136898,40216.7916310525
23891.1,646504,2013,20136899,44393.745198536
23893,385301,2012,20136900,31.2827322328474
23897,92019,2015,20136901,1084.26560367853
23897.1,92019,2015,20136902,3826.49677989545
23899,989979,2016,20136903,1377.65796129175
23899.1,989979,2016,20136904,12684.0553099873
23899.2,989979,2016,20136905,5272.91753743012
23899.3,989979,2016,20136906,14559.8935205056
23900,383001,2010,20136907,542.100199583431
23900.1,383001,2010,20136908,2258.9828917427
23901,33951,2010,20136909,553.054579516666
23902,492316,2014,20136910,5096.22788665719
23902.1,492316,2014,20136911,14063.3170088333
23905,412793,2009,20136912,2465.64261468476
23908,459053,2013,20136913,1407.05944932278
23915,602433,2015,20136914,82.2327422469328
23916,165916,2009,20136915,4385.08230732396
23917,991142,2016,20136916,345.372103650485
23919,102929,2013,20136917,6670.99180357317
23920,929932,2011,20136918,113.442354741433
23926,51539,2011,20136919,13948.5849118181
23935,655762,2009,20136920,84.3551731856765
23937,511641,2014,20136921,12617.7575516269
23937.1,511641,2014,20136922,1626.59026646053
23938,713714,2008,20136923,553.970262808224
23939,354100,2013,20136924,739.86917036086
23941,986861,2014,20136925,1625.50023230194
23942,886836,2014,20136926,12.6862102590291
23944,762813,2017,20136927,2830.55866486374
23945,217049,2009,20136928,3029.70904183684
23945.1,217049,2009,20136929,15434.0745196707
23945.2,217049,2009,20136930,2990.97385194865
23945.3,217049,2009,20136931,27593.138996028
23945.4,217049,2009,20136932,8632.2022771091
23950,854403,2016,20136933,1.26454719151131
23952,805530,2008,20136934,6870.79722627123
23956,505479,2012,20136935,815.21210992106
23956.1,505479,2012,20136936,785.617614732745
23962,583866,2012,20136937,2587.37347643444
23964,335407,2011,20136938,663.606588400151
23968,17329,2015,20136939,3159.20770153041
23970,519500,2009,20136940,438.08911796491
23972,147845,2012,20136941,2175.5912254617
23975,53947,2015,20136942,168.930865329955
23976,914756,2012,20136943,3897.70426724936
23979,824628,2009,20136944,1108.63649222302
23986,843243,2017,20136945,808.406034677502
23989,567224,2016,20136946,3547.78968886807
23990,31947,2012,20136947,459.134236601041
23992,663726,2013,20136948,325.497729368422
23994,491102,2013,20136949,8383.60906255583
23994.1,491102,2013,20136950,1126.02608390221
23994.2,491102,2013,20136951,34678.0373833607
23995,442966,2015,20136952,28.0451333699911
23997,953992,2017,20136953,514.479801076078
23998,234593,2011,20136954,680.753878223362
23999,338804,2012,20136955,1107.44932617847
24001,370670,2009,20136956,5751.14129759816
24001.1,370670,2009,20136957,7349.24640623958
24002,788070,2015,20136958,2505.38463740099
24007,577305,2010,20136959,1592.03673730038
24010,609978,2010,20136960,922.098663328897
24012,727534,2011,20136961,418.966320550753
24013,816441,2016,20136962,2549.70811431967
24016,352287,2012,20136963,18434.5267014479
24017,312303,2008,20136964,1209.68034628331
24017.1,312303,2008,20136965,2143.50178317833
24020,303979,2011,20136966,2666.74033505973
24021,822625,2014,20136967,17459.7105902675
24021.1,822625,2014,20136968,20001.078889527
24023,723833,2012,20136969,10485.9409485098
24023.1,723833,2012,20136970,2408.56571456988
24024,846794,2014,20136971,373.710700625149
24025,764986,2011,20136972,6930.0907463131
24025.1,764986,2011,20136973,5854.89724467126
24025.2,764986,2011,20136974,1549.74850138919
24025.3,764986,2011,20136975,4975.11305608346
24026,86710,2016,20136976,135.057075228886
24034,14602,2011,20136977,2960.95033258955
24036,31284,2009,20136978,4913.51769581935
24039,39155,2015,20136979,248.138583749102
24040,458796,2008,20136980,2088.95897994815
24045,842321,2015,20136981,279.184447098863
24047,676877,2010,20136982,1474.85162032192
24048,717889,2013,20136983,175.149025678371
24050,725034,2013,20136984,10661.2695285941
24050.1,725034,2013,20136985,1925.75134070245
24051,824984,2015,20136986,35230.1483798589
24051.1,824984,2015,20136987,24920.5393849035
24052,720618,2014,20136988,1484.69820136612
24053,667935,2013,20136989,773.279984159183
24054,416329,2014,20136990,725.522021270696
24057,985940,2012,20136991,1380.7639737099
24059,455475,2017,20136992,56.5483860808622
24061,697314,2008,20136993,91.4306276168946
24062,351249,2013,20136994,99.6218847412204
24064,408940,2017,20136995,2521.37445371539
24065,352231,2016,20136996,2006.71546323913
24067,748823,2010,20136997,3596.1173283082
24070,956780,2012,20136998,6266.22649999474
24072,321781,2017,20136999,2676.05104488895
24072.1,321781,2017,20137000,7006.35725877381
24080,461710,2017,20137001,748.117958084594
24084,101910,2008,20137002,4035.59551662514
24084.1,101910,2008,20137003,1011.46122264178
24085,727774,2011,20137004,4143.30019915283
24085.1,727774,2011,20137005,7731.14862447696
24089,494473,2017,20137006,3284.22109398344
24091,838021,2016,20137007,7717.9992719067
24094,367151,2017,20137008,209.677509715308
24096,704297,2015,20137009,5764.80587395875
24096.1,704297,2015,20137010,940.596643789652
24097,400345,2015,20137011,7951.27112890771
24097.1,400345,2015,20137012,9941.76575548863
24099,999485,2008,20137013,3228.88322299355
24101,357469,2013,20137014,4728.51799981284
24105,860670,2014,20137015,734.14119926721
24106,301366,2009,20137016,116.359951067853
24109,550600,2017,20137017,11220.4779681663
24112,426802,2010,20137018,124.941808171522
24115,558007,2015,20137019,291.14129111456
24116,332287,2014,20137020,11144.7106818626
24116.1,332287,2014,20137021,554.281807968424
24121,458180,2009,20137022,126.372968012937
24123,666872,2015,20137023,528.323860452257
24128,538213,2016,20137024,18567.386911383
24128.1,538213,2016,20137025,7992.89979889009
24128.2,538213,2016,20137026,26228.8449397834
24129,686147,2017,20137027,3005.76854468996
24132,779027,2010,20137028,5221.53890007396
24133,572239,2009,20137029,163.989630349533
24139,483204,2010,20137030,15942.2794904487
24139.1,483204,2010,20137031,2539.69135466027
24140,146535,2013,20137032,13297.26102156
24140.1,146535,2013,20137033,27598.2035702563
24140.2,146535,2013,20137034,13679.451478702
24141,147282,2012,20137035,804.849096843074
24142,13828,2017,20137036,1473.62730471925
24145,544792,2010,20137037,2445.57356790136
24148,641002,2017,20137038,105.526293902258
24149,72562,2014,20137039,833.202525984097
24150,304704,2011,20137040,59.423585253521
24153,730232,2017,20137041,1619.44636670613
24155,62777,2008,20137042,591.259725429237
24156,672953,2013,20137043,90.312278804306
24156.1,672953,2013,20137044,437.284075752978
24159,759148,2013,20137045,266.143241875332
24160,574066,2014,20137046,1873.78260546532
24162,3942,2015,20137047,122.043022922089
24164,45283,2009,20137048,66052.4164133436
24164.1,45283,2009,20137049,68088.0681909342
24164.2,45283,2009,20137050,105035.363937331
24164.3,45283,2009,20137051,98757.5364056491
24166,3927,2009,20137052,3521.31032941473
24167,854504,2008,20137053,1484.5624423635
24174,131508,2010,20137054,15574.3819324336
24174.1,131508,2010,20137055,5419.76461951922
24175,512244,2009,20137056,803.464659760651
24177,204734,2013,20137057,869.356341268208
24181,58593,2010,20137058,49.0273232547206
24184,478890,2015,20137059,6311.93545945416
24184.1,478890,2015,20137060,152.600549818584
24186,93135,2013,20137061,132.326077168435
24187,19093,2014,20137062,25071.5520966829
24187.1,19093,2014,20137063,51443.5204028508
24187.2,19093,2014,20137064,74245.9856987417
24188,253486,2009,20137065,42.6914149299056
24192,612198,2014,20137066,375.27985966992
24194,56563,2017,20137067,5416.397119153
24197,171191,2008,20137068,11839.6065686274
24197.1,171191,2008,20137069,2953.18633863997
24197.2,171191,2008,20137070,1874.91237782697
24198,408454,2016,20137071,22883.3444641997
24198.1,408454,2016,20137072,7493.84396114482
24200,686130,2015,20137073,29668.2783583261
24200.1,686130,2015,20137074,1482.81131985996
24201,795975,2010,20137075,1055.78288842527
24201.1,795975,2010,20137076,8792.14608880859
24201.2,795975,2010,20137077,1045.58191189522
24202,388539,2013,20137078,908.221296179581
24202.1,388539,2013,20137079,5234.49913976193
24206,357787,2009,20137080,91.4614930313994
24209,549537,2013,20137081,613.865437601791
24209.1,549537,2013,20137082,8828.46565761651
24212,747468,2009,20137083,1703.26100016894
24212.1,747468,2009,20137084,605.061791259475
24213,979169,2009,20137085,1712.68446215275
24219,916715,2011,20137086,2561.04898814747
24226,545229,2014,20137087,230.260071133096
24226.1,545229,2014,20137088,5993.411487831
24226.2,545229,2014,20137089,13685.1926210205
24230,291308,2008,20137090,45180.8226983106
24230.1,291308,2008,20137091,17201.5424961168
24230.2,291308,2008,20137092,4708.60156967748
24232,356759,2009,20137093,732.436052150947
24235,475110,2009,20137094,357.156537461723
24238,45930,2012,20137095,5628.08327775581
24238.1,45930,2012,20137096,8099.31103563347
24242,227791,2010,20137097,3408.20551465901
24246,885452,2009,20137098,1729.87129315221
24246.1,885452,2009,20137099,307.560059159756
24247,404230,2014,20137100,2417.881483656
24247.1,404230,2014,20137101,208.963684083254
24253,982907,2016,20137102,5396.16315271812
24255,241563,2008,20137103,771.077746171633
24255.1,241563,2008,20137104,18363.7087835842
24257,132470,2010,20137105,357.825212952755
24257.1,132470,2010,20137106,7897.78808035613
24264,294842,2014,20137107,4129.87007805806
24264.1,294842,2014,20137108,6052.74532703255
24266,910260,2014,20137109,13.7048109732479
24270,110545,2012,20137110,297.542942825018
24272,415584,2009,20137111,5174.10604480393
24272.1,415584,2009,20137112,231.695400787357
24274,243636,2011,20137113,305.480551323112
24276,744621,2012,20137114,1548.14308933585
24279,921603,2011,20137115,2356.92380592241
24279.1,921603,2011,20137116,1570.75777371574
24282,327207,2017,20137117,487.914828588798
24282.1,327207,2017,20137118,249.381317986371
24283,378057,2012,20137119,191.832477493818
24284,128093,2008,20137120,2777.14986021111
24285,727289,2016,20137121,2501.27792846941
24286,82691,2017,20137122,1616.50119746461
24288,571534,2011,20137123,9648.62944451111
24288.1,571534,2011,20137124,2576.56392590376
24289,60749,2016,20137125,571.906928800699
24292,96216,2009,20137126,1269.76236059929
24292.1,96216,2009,20137127,1258.84164603133
24293,499276,2016,20137128,125.405390752337
24296,347288,2017,20137129,1132.21767390913
24296.1,347288,2017,20137130,1212.23086827334
24298,22656,2012,20137131,152.822161821433
24302,200922,2013,20137132,2765.66522735113
24302.1,200922,2013,20137133,2088.1676369054
24303,491745,2016,20137134,4533.92327717635
24304,703144,2017,20137135,40.4693736400777
24307,450475,2008,20137136,9290.53831639801
24307.1,450475,2008,20137137,8568.87740033308
24308,876399,2016,20137138,2368.17869602806
24308.1,876399,2016,20137139,10894.6667823853
24313,746494,2009,20137140,13589.6960590598
24313.1,746494,2009,20137141,15084.1128732356
24317,353283,2017,20137142,2783.02171171022
24317.1,353283,2017,20137143,18003.278632384
24319,526847,2016,20137144,3453.77237869977
24320,582426,2012,20137145,669.430167513434
24320.1,582426,2012,20137146,1591.55417895403
24322,474359,2017,20137147,344.191492814328
24325,442533,2011,20137148,11.6659963770181
24328,22205,2016,20137149,1678.04486765827
24331,976658,2010,20137150,260.456730572896
24332,777767,2012,20137151,4234.72550373931
24338,338221,2016,20137152,1752.53267884942
24339,859222,2014,20137153,3054.61197017748
24340,826133,2016,20137154,13632.0786823454
24340.1,826133,2016,20137155,41046.8852867079
24340.2,826133,2016,20137156,17.4418137309931
24340.3,826133,2016,20137157,31666.0358572723
24340.4,826133,2016,20137158,7321.47665751399
24344,518559,2012,20137159,3974.8381524675
24344.1,518559,2012,20137160,2779.94859795213
24344.2,518559,2012,20137161,317.604391556599
24346,240813,2014,20137162,17224.6579273405
24346.1,240813,2014,20137163,11774.8568722492
24353,538744,2013,20137164,1595.87768655839
24353.1,538744,2013,20137165,42756.9090110369
24354,497694,2010,20137166,117.027674109329
24356,900372,2011,20137167,623.457917157481
24359,304387,2009,20137168,809.203368898469
24364,932271,2016,20137169,2024.43818533518
24367,337871,2013,20137170,603.094957171485
24367.1,337871,2013,20137171,947.713330059512
24368,707326,2014,20137172,15607.6832647679
24368.1,707326,2014,20137173,6378.8130704786
24375,88660,2014,20137174,427.643181641738
24378,580039,2015,20137175,151.102849097194
24380,549659,2009,20137176,9095.07083276998
24380.1,549659,2009,20137177,5664.13078704257
24386,4541,2008,20137178,210.23297132842
24387,713569,2013,20137179,6621.3659196292
24388,168374,2017,20137180,2188.73463157451
24388.1,168374,2017,20137181,297.837990297647
24389,605270,2012,20137182,2561.2857314564
24391,388061,2013,20137183,6028.08142993049
24391.1,388061,2013,20137184,3612.68600374675
24392,469633,2011,20137185,459.600083068072
24396,793123,2013,20137186,1124.71779943867
24398,323055,2010,20137187,848.655085854206
24400,137297,2015,20137188,2804.50919405788
24401,30900,2011,20137189,87.6194244198483
24401.1,30900,2011,20137190,22379.2842754576
24405,730189,2011,20137191,3473.88345661411
24406,25418,2013,20137192,2779.44395487815
24406.1,25418,2013,20137193,8155.59376635076
24406.2,25418,2013,20137194,4627.29384111342
24409,176917,2008,20137195,474.452728613054
24409.1,176917,2008,20137196,60.0447658664679
24411,505472,2008,20137197,324.426541144265
24413,415991,2016,20137198,224.144867118782
24417,192053,2008,20137199,54142.8045107845
24417.1,192053,2008,20137200,10302.0034970074
24417.2,192053,2008,20137201,13002.9869077152
24421,5976,2014,20137202,1358.64308101249
24422,946793,2013,20137203,1032.49742303948
24422.1,946793,2013,20137204,19757.3101353492
24423,82517,2017,20137205,5113.73857076668
24423.1,82517,2017,20137206,16157.6226456498
24423.2,82517,2017,20137207,2668.73214733372
24423.3,82517,2017,20137208,2572.62522468638
24425,429406,2013,20137209,12406.5867655333
24425.1,429406,2013,20137210,21762.1953824003
24426,408792,2012,20137211,241.448238669563
24429,694268,2017,20137212,8937.10958564596
24429.1,694268,2017,20137213,26841.16198168
24429.2,694268,2017,20137214,16586.4674071907
24433,103420,2011,20137215,10108.5090678718
24433.1,103420,2011,20137216,31877.5259733236
24436,856530,2012,20137217,3821.59025940821
24436.1,856530,2012,20137218,16865.3792160296
24439,636644,2012,20137219,223.428441360838
24440,721224,2017,20137220,657.994798249214
24442,447504,2017,20137221,1719.80298483317
24444,653981,2012,20137222,4422.42907893187
24444.1,653981,2012,20137223,2544.41717842727
24446,626355,2010,20137224,2388.60356996733
24448,598767,2011,20137225,12773.6492826017
24448.1,598767,2011,20137226,2951.79869185571
24450,185597,2009,20137227,750.830589431287
24452,721280,2017,20137228,751.126671638103
24460,4457,2013,20137229,1478.23031468326
24460.1,4457,2013,20137230,51107.9817867061
24460.2,4457,2013,20137231,3160.21239845029
24464,466977,2016,20137232,393.161443654211
24465,105992,2012,20137233,283.981985176709
24472,305176,2013,20137234,177.42724331961
24473,852615,2010,20137235,3080.23906412847
24473.1,852615,2010,20137236,1526.4726321618
24474,502433,2015,20137237,1356.37356040064
24475,27841,2008,20137238,3470.47673116404
24476,730360,2011,20137239,1015.83598829744
24478,68936,2011,20137240,1877.05225649368
24480,826787,2013,20137241,645.221038684828
24483,265446,2016,20137242,2540.14858456965
24483.1,265446,2016,20137243,1909.69041474322
24484,806999,2009,20137244,198.090481673709
24486,529726,2016,20137245,535.663755708659
24488,382926,2015,20137246,429.660265712874
24491,720867,2012,20137247,71.1810912526709
24493,518404,2013,20137248,643.017525447686
24500,386512,2012,20137249,10252.2696837102
24507,943231,2016,20137250,19682.6571105678
24507.1,943231,2016,20137251,10242.0476849099
24507.2,943231,2016,20137252,1995.23470618603
24507.3,943231,2016,20137253,2142.64911129465
24508,288063,2015,20137254,4044.84986588829
24509,431509,2014,20137255,424.32383856323
24510,155840,2011,20137256,2181.8579155733
24511,322666,2011,20137257,11160.1225099049
24511.1,322666,2011,20137258,7522.30329143978
24512,288624,2011,20137259,5338.07003970485
24512.1,288624,2011,20137260,10719.9021357823
24515,146313,2008,20137261,83428.3745572661
24515.1,146313,2008,20137262,21742.2730724426
24515.2,146313,2008,20137263,134716.606606359
24515.3,146313,2008,20137264,26646.8769203681
24515.4,146313,2008,20137265,8433.15839303868
24520,475221,2008,20137266,973.833266227971
24523,847054,2009,20137267,788.596551143278
24529,854220,2016,20137268,2528.68904173444
24529.1,854220,2016,20137269,11403.6516492055
24529.2,854220,2016,20137270,14661.387672924
24530,928727,2008,20137271,518.507943297391
24531,628636,2011,20137272,867.819871199644
24535,537730,2011,20137273,12276.0195876939
24535.1,537730,2011,20137274,3072.14553251482
24535.2,537730,2011,20137275,8224.15152551688
24537,20114,2010,20137276,191.181437315744
24539,123115,2017,20137277,1091.95955968593
24539.1,123115,2017,20137278,6678.21783438978
24542,457394,2009,20137279,30691.9725171672
24542.1,457394,2009,20137280,13856.1873203584
24544,184827,2012,20137281,4615.16350152967
24544.1,184827,2012,20137282,12268.5146125894
24546,667876,2008,20137283,292.609178051021
24548,98378,2010,20137284,80.904101603247
24553,479704,2012,20137285,5612.16296408773
24553.1,479704,2012,20137286,2275.03818555266
24565,358060,2010,20137287,28778.1185861773
24565.1,358060,2010,20137288,3794.41311033026
24566,39183,2011,20137289,3529.08283328872
24567,219462,2012,20137290,5.04729624623211
24573,197782,2015,20137291,206.291206575959
24581,284137,2014,20137292,2200.13969704529
24583,857762,2013,20137293,5123.41537680008
24584,980698,2014,20137294,204.292714976191
24593,196847,2015,20137295,1434.77100779908
24595,229319,2015,20137296,133.124496707923
24595.1,229319,2015,20137297,1853.3357510435
24596,628027,2011,20137298,3133.33296951268
24599,973657,2016,20137299,4514.98677305679
24599.1,973657,2016,20137300,2280.99729608569
24599.2,973657,2016,20137301,4830.83945940485
24600,760224,2016,20137302,6089.41239698682
24601,891647,2008,20137303,69.2877611569891
24602,217085,2016,20137304,1691.35458098924
24602.1,217085,2016,20137305,8619.23608674756
24605,756595,2011,20137306,493.707951059658
24607,563382,2013,20137307,1373.48224623691
24608,651392,2013,20137308,33.9949271711891
24610,688838,2013,20137309,6233.34916694696
24610.1,688838,2013,20137310,2227.12055355653
24615,283409,2012,20137311,155.741649703539
24616,984361,2014,20137312,296.123417123387
24617,655954,2008,20137313,3791.30274149282
24617.1,655954,2008,20137314,2968.20989425805
24617.2,655954,2008,20137315,1534.67813537136
24619,206016,2009,20137316,1528.4481949563
24620,167610,2017,20137317,182.709103864923
24626,571889,2014,20137318,36583.3737375807
24626.1,571889,2014,20137319,2719.07487352118
24628,333721,2015,20137320,14989.1919074024
24628.1,333721,2015,20137321,6067.53770971775
24629,314923,2013,20137322,1360.01873986377
24631,404125,2013,20137323,1480.24360669713
24632,936997,2013,20137324,645.082587238267
24633,118923,2017,20137325,1802.57740216426
24636,908316,2008,20137326,523.133183345298
24637,300733,2011,20137327,812.15394708214
24640,185220,2010,20137328,23716.2180972811
24640.1,185220,2010,20137329,3042.72678979432
24640.2,185220,2010,20137330,4102.3421869006
24640.3,185220,2010,20137331,80137.3670570324
24645,58296,2016,20137332,502.002368343729
24646,353998,2014,20137333,259.489397586311
24649,969229,2014,20137334,13111.3314546434
24649.1,969229,2014,20137335,3726.57474293718
24654,349628,2013,20137336,1270.24791143748
24655,663694,2012,20137337,1995.96253356953
24655.1,663694,2012,20137338,26935.9398880468
24657,987337,2017,20137339,3175.97163342621
24659,910925,2015,20137340,13785.6263227793
24659.1,910925,2015,20137341,8138.71477475903
24659.2,910925,2015,20137342,340.347255825547
24661,402772,2016,20137343,224.828654176234
24663,199864,2013,20137344,4653.53791041287
24663.1,199864,2013,20137345,14875.7908657595
24665,618913,2013,20137346,470.491443670981
24666,710821,2013,20137347,46.3994358342736
24668,627908,2011,20137348,2832.7066257177
24668.1,627908,2011,20137349,2441.15843226505
24670,125598,2014,20137350,853.151518137004
24673,974064,2009,20137351,588.112490324247
24675,100161,2010,20137352,9608.14660153665
24675.1,100161,2010,20137353,6898.43181571328
24676,532840,2017,20137354,367.649211665533
24682,530550,2008,20137355,553.094174369707
24689,944320,2011,20137356,866.00635219935
24691,27590,2009,20137357,288.381077712535
24694,795830,2015,20137358,1732.67584498541
24698,953427,2014,20137359,970.274096684345
24702,397287,2012,20137360,1770.89475848086
24705,464932,2017,20137361,364.060666644784
24707,495835,2016,20137362,7266.33407315459
24709,143277,2012,20137363,33011.0402938652
24709.1,143277,2012,20137364,10564.0770906823
24709.2,143277,2012,20137365,32239.8797853976
24711,624072,2010,20137366,16379.8459154339
24711.1,624072,2010,20137367,3161.11041686175
24711.2,624072,2010,20137368,7514.36708262471
24713,140591,2013,20137369,303.52030485357
24716,32592,2013,20137370,839.827963816231
24719,189873,2013,20137371,7134.19858628683
24720,726052,2010,20137372,1105.74177853295
24725,227102,2011,20137373,1318.34603623599
24727,607715,2008,20137374,228.66573090106
24728,773468,2013,20137375,285.562208739216
24730,840338,2009,20137376,13.3144463552036
24733,138877,2017,20137377,312.193802828265
24738,886086,2014,20137378,6897.21565295243
24739,329414,2012,20137379,416.761712638789
24740,552423,2017,20137380,3.36665441328362
24742,856082,2013,20137381,533.018848397604
24748,422040,2008,20137382,1627.70929521317
24748.1,422040,2008,20137383,3102.15754837267
24749,647655,2008,20137384,1381.2169908496
24749.1,647655,2008,20137385,2315.68950026389
24750,782685,2011,20137386,16208.9359632175
24750.1,782685,2011,20137387,5511.619201071
24750.2,782685,2011,20137388,9696.61546327363
24754,243133,2010,20137389,237.576816127975
24755,526518,2016,20137390,316.180402254308
24756,501905,2008,20137391,73087.7675703414
24756.1,501905,2008,20137392,45997.2774551838
24756.2,501905,2008,20137393,679.581809637249
24757,470184,2011,20137394,1086.60002054387
24757.1,470184,2011,20137395,556.740359850605
24758,506763,2015,20137396,2784.78980826508
24759,822631,2012,20137397,87.7117358950868
24761,394650,2010,20137398,38.9492264030562
24763,924907,2013,20137399,1443.15275479159
24763.1,924907,2013,20137400,647.048465525371
24763.2,924907,2013,20137401,2664.66520025557
24765,913414,2009,20137402,366.402504846672
24769,549491,2008,20137403,7251.89073880452
24770,107093,2016,20137404,1023.19898224124
24772,364778,2010,20137405,208.11145775992
24774,124215,2013,20137406,294.60970899111
24775,602824,2011,20137407,18333.9226857627
24775.1,602824,2011,20137408,197.587650802565
24779,260031,2015,20137409,13202.7157426529
24779.1,260031,2015,20137410,3771.00052850067
24779.2,260031,2015,20137411,842.943511255573
24779.3,260031,2015,20137412,21135.605159514
24780,215719,2014,20137413,1355.59416596046
24781,340036,2014,20137414,631.42043344967
24784,192034,2014,20137415,419.734503410237
24784.1,192034,2014,20137416,1668.10396755368
24785,359095,2013,20137417,358.459022567772
24786,222158,2008,20137418,10829.4613421409
24788,398065,2014,20137419,1784.24487854629
24799,619427,2012,20137420,11786.7825994179
24801,738677,2014,20137421,530.160164702458
24802,425248,2017,20137422,168.589598152331
24804,956316,2017,20137423,9.55384593649138
24805,733261,2014,20137424,3947.07503458089
24805.1,733261,2014,20137425,11339.1871874583
24805.2,733261,2014,20137426,13588.2146521737
24812,937675,2008,20137427,648.207599164136
24816,24790,2008,20137428,3398.69823374437
24817,824253,2011,20137429,31535.2023945873
24817.1,824253,2011,20137430,42095.849601714
24818,458686,2010,20137431,2493.31570556261
24819,586184,2011,20137432,26.6219181107916
24820,919453,2017,20137433,21638.7047056248
24820.1,919453,2017,20137434,44135.1883181061
24823,933309,2009,20137435,98.1163800155229
24824,283213,2016,20137436,488.69274268982
24825,128128,2009,20137437,198.806528755024
24829,552706,2011,20137438,6842.90202763998
24829.1,552706,2011,20137439,2805.81841328551
24829.2,552706,2011,20137440,16169.9407643722
24831,393249,2012,20137441,988.927038215237
24831.1,393249,2012,20137442,2588.20835057088
24835,77342,2017,20137443,2285.00801505575
24835.1,77342,2017,20137444,585.054244612881
24835.2,77342,2017,20137445,293.772831301697
24839,179123,2012,20137446,63.4112440138522
24841,443133,2009,20137447,14824.1345402293
24841.1,443133,2009,20137448,4208.03497546278
24841.2,443133,2009,20137449,1221.81334338083
24845,437802,2015,20137450,4823.77301173348
24846,638854,2013,20137451,396.642486754429
24850,191510,2016,20137452,2154.26354530654
24852,989876,2016,20137453,223.521140978008
24853,420706,2008,20137454,7986.00875571992
24853.1,420706,2008,20137455,7933.64966992738
24857,672352,2015,20137456,4569.93036450382
24858,30756,2016,20137457,110.340183737697
24860,259496,2012,20137458,535.14806104826
24865,601345,2016,20137459,10.2765726602142
24866,498356,2010,20137460,625.658804689352
24868,125654,2011,20137461,1649.85196366477
24868.1,125654,2011,20137462,3886.33999483549
24870,808609,2011,20137463,2164.25449645969
24870.1,808609,2011,20137464,8267.390249981
24871,962891,2010,20137465,61535.4997350888
24871.1,962891,2010,20137466,4740.08229825953
24871.2,962891,2010,20137467,5237.8178275122
24871.3,962891,2010,20137468,6829.86878226206
24871.4,962891,2010,20137469,8469.75318673099
24873,83199,2015,20137470,109429.0834106
24873.1,83199,2015,20137471,52638.7001905862
24873.2,83199,2015,20137472,23567.4662110347
24878,722308,2013,20137473,1429.25619047173
24878.1,722308,2013,20137474,1977.67607408207
24880,517399,2013,20137475,2143.76797027647
24883,218595,2012,20137476,2936.17936218672
24885,256358,2012,20137477,2198.85714684221
24886,521329,2008,20137478,637.350515362141
24889,709646,2016,20137479,1537.08006785883
24890,953347,2013,20137480,149.622185995597
24890.1,953347,2013,20137481,4279.03643695702
24891,224157,2015,20137482,890.456262793763
24903,809065,2011,20137483,345.832079222023
24905,499039,2010,20137484,1298.02401965583
24905.1,499039,2010,20137485,9111.57828583417
24908,519694,2008,20137486,2406.10351540808
24909,384348,2013,20137487,272.958052038322
24909.1,384348,2013,20137488,925.910711822777
24911,136454,2009,20137489,4150.91410832032
24919,783401,2015,20137490,399.29326927356
24922,975744,2009,20137491,1392.23633882322
24923,863477,2012,20137492,944.453285025881
24929,563088,2009,20137493,4317.44572181511
24931,876437,2010,20137494,387.866558182191
24933,7602,2010,20137495,1634.22506096427
24936,947272,2012,20137496,2451.64589237342
24943,293907,2011,20137497,51.5404788024937
24945,758577,2013,20137498,9422.47239710221
24945.1,758577,2013,20137499,9252.36932438667
24945.2,758577,2013,20137500,2805.64804419524
24947,172277,2016,20137501,247.744876981998
